grin_accession,flower_color,height,hilum_color,lodging,maturity_group,oil,protein,pubescence_color,seed_quality,seed_weight,yield
PI153313,P,86,Bl,2.8,I,19.4,39,T,2.3,13.5,1.97
PI153314,P,74,Br,2.5,0,18.2,47,T,3,22.3,2.19
PI153315,W,69,Y,1.3,I,19.4,38.9,G,2.8,15.4,2
PI153316,P,74,Tn,1.3,I,20,38.8,T,2.5,13.8,2.06
PI153317,P,74,Br,4,0,19.95,45,T,3,20,1.61
PI153318,P,69,Bf,3.5,0,20.9,40.3,G,2.5,17.7,1.83
PI153319,P,76,Ib,4,0,20.8,38.9,G,3,17.4,2.49
PI153320,P,76,Bf,3,0,21.7,40.4,G,2.5,17.1,2.06
PI153321,P,79,Br,2.9,IV,19.5,43.6,T,2.8,15.8,1.99
PI153681,W,133,Bf,3,VII,18.2,44.2,G,2.5,14.1,1.39
PI153682,P,135,Bf,3.5,VII,15,45.9,G,3.5,14.3,0.89
PI154189,W,76,Tn,4,0,18.6,41.6,T,2.5,14.8,1.51
PI154190,W,61,Bl,3,0,17.9,43.8,T,3.5,15.9,1.09
PI154191,P,56,Gn,2,0,18.8,43.5,T,3,15.7,1.05
PI154192,P,56,Gn,2,0,20.05,42.95,T,3,19.3,1.59
PI154193,W,71,Y,3,0,18.2,43.2,T,3,14,1.31
PI154194,P,48,Ib,2,0,19.9,41,G,3,21.8,1.31
PI154195,P,56,G,1.8,II,21,37.5,T,3,21.4,2.04
PI154196,P,66,Bl,2,0,16,49.4,T,3,15.2,1.29
PI154197,P,51,Bl,2,0,18.4,47.8,T,4,16.7,0.87
PI154198,P,51,Bl,2,0,18.75,45.8,T,4.5,19.3,0.69
PI154199,P,66,Rbr,1.5,0,17.4,46.7,T,3.5,17,0.85
PI154200,P,51,Bl,1.5,0,18.9,47,T,4,20.4,0.86
PI157394,W,55,Bf,2.5,V,20.3,45.25,G,3.5,15.9,1.87
PI157395,P,81,Y,3.9,IV,19.35,44.55,G,2.3,21.2,2.37
PI157396,P,84,Y,3.9,IV,19.15,44.85,G,2.5,21.2,2.47
PI157397,W,61,G,3.5,III,20.2,43.55,T,3.3,19.8,1.62
PI157398,P,86,Br,3,IV,19,42.85,T,2.3,18.2,2.11
PI157401,W,71,Y,3.6,IV,19.4,41.1,G,2.3,14.3,2
PI157402,P,58,Y,3.9,IV,17.6,44.6,G,2.5,25.2,2.02
PI157404,P,71,Bf,4,IV,17.7,43.1,G,2,8.3,2.72
PI157405,P,84,G,4,IV,18.7,41.7,G,2.5,17,2.49
PI157406,W,155,Bf,4.5,V,18.6,45.75,G,3.8,19.7,1.69
PI157408,P,76,Y,3.6,IV,19.9,42.8,G,2.5,21.8,2.5
PI157409,P,94,Bf,3.8,IV,18.35,43.3,G,2.5,17.3,2.48
PI157410,P,74,Bf,3.5,IV,19.55,42.45,G,2.5,20.2,2.61
PI157413,W,98,Bf,4,V,11.9,45.8,G,2.8,5.5,0.27
PI157414,P,81,Y,3.9,IV,18.65,45.7,G,2.5,19.4,2.46
PI157416,W,74,Bl,2.5,III,20.95,41.55,T,2.5,16,2.7
PI157417,P,84,Y,4.2,IV,19.25,43.1,G,2.5,22.8,2
PI157419,P,81,Y,3.4,IV,18.7,42.3,G,3,32.4,2.59
PI157421,P,97,Bl,4.3,III,16.9,45.4,Ng,2.5,9.7,2.8
PI157422,P,155,Gnbr,4,V,19.4,46.55,T,3.8,18.3,1.17
PI157424,P,76,Y,4.4,IV,19,44.4,G,3,29.4,2.31
PI157428,P,71,Bf,3.4,IV,19.65,42.4,G,2.5,20.3,2.58
PI157429,P,81,Y,3.4,III,19.3,45.1,G,2.5,19.5,2.59
PI157430,P,63,Y,2.5,V,20.2,46.2,G,3,19.1,1.94
PI157431,P,122,Bf,4.2,IV,18.1,43.4,G,2.3,19.3,3.29
PI157432,W,73,Bf,2.5,V,16.8,45.4,G,2.5,11.8,1.78
PI157434,W,86,Br,4.3,IV,18.5,41.4,T,2.3,20.3,2.7
PI157435,P,119,Br,4.3,IV,18.6,41.1,Ng,2.3,9.9,2.81
PI157436,P,109,Y,4.5,IV,20.5,42,G,2.8,21.5,2.68
PI157437,W,132,Bf,4.5,IV,21,42.65,G,2.5,17.6,3.23
PI157438,P,84,Y,4,IV,19.6,43.85,G,2.5,21.5,2.39
PI157439,P,74,Bf,3.3,IV,19.8,41.5,G,2.5,21.1,2.74
PI157440,W,88,Bf,3,V,19.55,42.8,G,2.8,13.1,1.82
PI157441,P,74,Lbf,3.3,IV,19.1,43,G,2.8,21.7,2.72
PI157442,P,76,Y,3.5,IV,19.9,43,G,3,29.8,2.27
PI157443,P,53,Y,1.5,V,18.75,45.85,G,2.5,15.8,1.29
PI157444,P,47,Br,2.5,V,19.65,42.5,T,2.8,14.5,0.89
PI157445,P,76,Y,4.2,IV,18.25,44.65,G,2.5,18.7,2.67
PI157446,P,81,Y,4.4,IV,19.05,45.1,G,2.5,22,2.64
PI157447,P,71,Bf,3.7,IV,19.25,42.5,G,2.5,21.4,2.55
PI157448,P,84,Ib,3.2,IV,20.5,41.5,G,2.5,22.4,2.45
PI157449,P,64,Bf,3,IV,19.3,41,G,2.5,20.3,2.8
PI157450,P,76,Y,4.4,IV,18.95,44.05,G,2.5,19.6,2.64
PI157451,P,43,Y,1,V,18.9,46.4,G,2.8,17.7,1.32
PI157452,P,81,Y,4.4,IV,18,45.6,G,2.5,20.9,2.72
PI157453,P,84,Br,3.6,IV,20.05,42.95,T,2.8,15.5,2.1
PI157454,P,71,Bf,3.3,IV,19,42.9,G,2.5,21.1,2.58
PI157456,P,97,Y,4.3,IV,18.3,44.1,G,2.5,20.2,2.65
PI157457,P,66,Bf,3,III,19.45,41.3,G,2.5,19.1,2.48
PI157458,P,76,Y,3.9,IV,19.65,44.3,G,2.5,24.9,3.01
PI157459,P,89,Y,4.5,IV,20.1,42.7,G,2.5,25.8,2.7
PI157460,P,71,Y,3.8,IV,19.2,44.4,G,2.3,21,2.66
PI157462,P,91,Lbf,3.8,IV,19.5,41.7,G,2.3,10.5,2.56
