Cultivar,PI_Num
A87-187020,NA
A87-195032,NA
A87-195034,NA
A87-196014,NA
A87-198005,NA
A87-198015,NA
A87-296011,NA
A87-296012,NA
A87-297015,NA
A87-395012,NA
A87-396020,NA
A87D20,NA
A88-121019,NA
A88-121025,NA
A88-221005,NA
A88-221006,NA
A88-221020,NA
A89-144003,NA
A89-144003EMS-81,NA
A89-144026,NA
A89-144036,NA
A89-246006,NA
A89-269039,NA
A90-314041,NA
A91-501002,NA
A91-613001,NA
A91-613019,NA
A91-613026,NA
A91-613029,NA
A91-701035,NA
A92-525004,NA
A92-525014,NA
A92-525015,NA
A92-526007,NA
A92-535029,NA
A92-535059,NA
A92-625002,NA
A92-627030,NA
A93-751019,NA
A94-572028,NA
A94-674017,NA
A94-770016,NA
A94-770314,NA
A94-773014,NA
A95-483031,NA
A95-484015,NA
A95-484031,NA
A95-484041,NA
A95-484043,NA
A95-485020,NA
A95-581028,NA
A95-583021,NA
A95-589009,NA
A95-682026,NA
A95-684043,NA
A96-246029,NA
A96-492041,NA
A96-492058,NA
A96-494018,NA
A96-591033,NA
A96-591046,NA
A96-591076,NA
A96-691030,NA
A97-553010,NA
A97-553017,NA
A97-553018,NA
A97-770012,NA
A97-770031,NA
A97-770051,NA
A97-771039,NA
A97-772024,NA
A97-871009,NA
A97-874007,NA
A97-874014,NA
A97-973002,NA
A98-590014,NA
A98-781041,NA
A98-884037,NA
A98-980047,NA
A98-983013,NA
A99-112003,NA
A99-112033,NA
A99-112034,NA
A99-113038,NA
A99-212014,NA
A99-213052,NA
A99-215025,NA
A99-215030,NA
A99-216029,NA
A99-216031,NA
A99-217006,NA
A99-312006,NA
A99-312009,NA
A99-312028,NA
A99-312052,NA
AAK 2501 MOR,NA
ABSR 101BC,PI 546487
AC Bravor,NA
AC Harmony,NA
AC Orford,NA
AC Proteus,NA
Acadian,PI 548436
Acadian 299,NA
Accomac,NA
Acme,PI 548498
Ada,PI 548499
Adams,PI 548502
Adelphia,PI 548503
AG 3934RR2,NA
AG 4135,NA
AG 4232RR2Y,NA
AG 4835,NA
AG00133,NA
AG00437,NA
AG00632,NA
AG00932,NA
AG00937,NA
