Female,Male,Cultivar
02JR318004,Asgrow A3244RR2,PI 665487
NE0800097,(WW221162 (3)*2407D4-AOYN),PI 669398
NE0800097 (2),(WW221162 (3)*2407D4-AOYN),PI 669428
NE0800097,(WW221162 (3)*2407D4-AOYN),PI 669402
NE0800097,(WW221162 (3)*2407D4-AOYN),PI 669399
06JR208211,(03RM893902 (3)*2807D9-AOYN),PI 669394
06JR208211,(03RM893902 (3)*2807D9-AOYN),PI 669403
4064827-33,(OW0800084*(03KL015751*Asgrow A3244RR2)),PI 672056
06JR208211 (2),(03RM893902 (3)*2807D9-AOYN),PI 672057
06JR208211 (2),(03RM893902 (3)*2807D9-AOYN),PI 672058
SJ0800021,(SJ0800018*(Syngenta S38-H8*(03JR101916*Asgrow A3244RR2))),PI 669418
06JR205288,(03KL015751*Asgrow A3244RR2),PI 672059
SJ0800019,(WN0800099*(03RM893902 (3)*2807D9-AOYN)),PI 672060
BN0800077,(06JR202581*(03RM893902 (3)*2807D9-AOYN)),PI 672061
NE0800087 (2),(WN0800099 (2)*(03RM893902 (3)*2807D9-AOYN)),PI 669414
OW080084 (2),(RM893902 (3)*2807D9-AOYN),PI 672062
SJ0800025,(06JR208211*(03RM893902 (3)*2807D9-AOYN)),PI 672063
WN0800506,(NE0800097 (3)*(05KL134039 (3)*2407D4-AOYN)),PI 672064
WN0800506,(NE0800097 (3)*(05KL134039 (3)*2407D4-AOYN)),PI 672065
Manokin,DPL 415,B314028
Pioneer P90A01,Pioneer P90Y50,PI 665302
Pioneer P90A01,Pioneer P90Y42,PI 665303
YB01D05,XB17S05,PI 661124
YB01D05,XB21R05,PI 661501
Pioneer P90M60,Pioneer P90M02,PI 668259
Pioneer P90Y20,Pioneer P91Y22,PI 668260
Pioneer P90Y20,Pioneer P90Y30,PI 668261
Pioneer P90Y41,MH5817653,PI 668262
OACLakeview,Pioneer P90M60,PI 668263
Pioneer P91M10,Pioneer P90M60,PI 660238
Pioneer P90Y50,Pioneer P91Y22,PI 668264
Pioneer P90M80,Pioneer P90Y41,PI 668266
YB08N05,Pioneer P90M60,PI 661123
Pioneer P90M92,Pioneer P91Y20,PI 668267
Pioneer P91M41,Pioneer P90M60,PI 668268
RCAT 2002,Pioneer P90M91,PI 660237
Pioneer P90M92,Pioneer P90Y41,PI 668269
RCAT 2002,Pioneer P90M91,PI 661056
Pioneer P91M10,Syngenta S08-80,PI 661122
XB32L06,Pioneer P90M60,PI 668270
XB06G06,Pioneer P92M91,PI 661054
EX14M05,XB12K05,PI 668272
Pioneer P92Y21,Pioneer P91Y20,PI 665312
Pioneer P90M92,Pioneer P92M91,PI 665313
Pioneer P92M75,Pioneer P90M60,PI 665314
Pioneer P91Y20,Pioneer P92M40,PI 665315
ZB16V06,Pioneer P90Y41,PI 668273
Pioneer P91M51,Pioneer P95B97,PI 660230
ZB19S04,Pioneer P92M54,PI 668275
JW2007A6-D0YN,67101117,PI 671811
XB17S05,XB19V06,PI 665317
Pioneer P90Y80,Pioneer P92Y30,PI 668276
Pioneer P91Y40,Pioneer P92Y51,PI 668277
CRM1904B0C (3),MON89788,PI 671812
YB30A05,Pioneer P92M22,PI 665319
Pioneer P92M54,Pioneer P92Y30,PI 668278
AW1508B3-D0YN,67101117,PI 671813
3015806-01,(AJW2504H0C (2)*MON89788),PI 671814
Pioneer P92M54,Pioneer P92Y30,PI 668279
Pioneer P91Y91,Pioneer P92M54,PI 665322
Pioneer P92M54,Pioneer P92Y30,PI 668280
DAK2306A0R-0017,RM2507B6-B0YN,PI 671815
DFN3206D0R,FN3305A1-G0AAC,PI 671816
RJS25001,Pioneer P92Y53,PI 665323
